Participant,replicate,front-back,left-right,top-bottom,role,grid,black_animal_C,blue_animal_C,red_animal_C
C,02,B,L,T,receiver,F1,0,0,1
C,02,B,L,T,receiver,A2,1,0,0
C,02,B,L,T,receiver,B2,0,0,0
C,02,B,L,T,receiver,C2,0,0,0
C,02,B,L,T,receiver,D2,0,0,1
C,02,B,L,T,receiver,E2,1,0,0
C,02,B,L,T,receiver,F2,0,0,1
C,02,B,L,T,receiver,A3,0,0,0
C,02,B,L,T,receiver,B3,0,0,0
C,02,B,L,T,receiver,C3,0,0,1
C,02,B,L,T,receiver,D3,0,0,0
C,02,B,L,T,receiver,E3,1,0,0
C,02,B,L,T,receiver,F3,0,0,0
C,02,B,L,T,receiver,A4,0,0,0
